pool,stratum,mode,t,n,A_recall10,B_recall10,d_recall10,discordant_A_only,discordant_B_only,mcnemar_p,A_mrr10,B_mrr10,d_mrr10,d_mrr10_ci_lo,d_mrr10_ci_hi,A_ndcg10,B_ndcg10,d_ndcg10,d_ndcg10_ci_lo,d_ndcg10_ci_hi,A_union10,B_union10,A_page,B_page,A_reachable,B_reachable
FRESH,table,dense,0.8,13,0.5384615384615384,0.5384615384615384,0.0,2,2,1.0,0.3589743589743589,0.4,-0.04102564102564103,-0.31025641025641026,0.19237179487179396,0.38824702464363176,0.43827027775459726,-0.05002325311096561,-0.3163680735909542,0.19223297409996024,0.5384615384615384,0.5384615384615384,0.7692307692307693,1.0,1.0,1.0
FRESH,table,sparse,0.4,13,0.6153846153846154,0.6153846153846154,0.0,2,2,1.0,0.4256410256410256,0.5769230769230769,-0.1512820512820513,-0.3974358974358974,0.0641025641025641,0.40943650153790184,0.43836485230115996,-0.028928350763258136,-0.2333843719922715,0.15315818852032423,0.9230769230769231,0.9230769230769231,0.7692307692307693,1.0,1.0,1.0
FRESH,table,sparse,0.5,13,0.6153846153846154,0.6153846153846154,0.0,2,2,1.0,0.3679487179487179,0.4807692307692308,-0.11282051282051284,-0.3692307692307692,0.11794871794871795,0.4083472102658944,0.41074966727685064,-0.002402457010956299,-0.2162837326336419,0.18687559713808302,0.8461538461538461,0.8461538461538461,0.7692307692307693,1.0,1.0,1.0
FRESH,table,sparse,0.6,13,0.6153846153846154,0.6153846153846154,0.0,2,2,1.0,0.3679487179487179,0.4807692307692308,-0.11282051282051284,-0.37179487179487186,0.12057692307692215,0.4083472102658944,0.4367705026500174,-0.028423292384123035,-0.25736808421019025,0.16929073452456783,0.6923076923076923,0.7692307692307693,0.7692307692307693,1.0,1.0,1.0
FRESH,table,sparse,0.7,13,0.6153846153846154,0.5384615384615384,0.07692307692307698,3,2,1.0,0.3679487179487179,0.4,-0.032051282051282055,-0.3012820512820513,0.20256410256410257,0.43072154220665576,0.43827027775459726,-0.007548735547941528,-0.290900702477023,0.24431089760659289,0.6923076923076923,0.5384615384615384,0.7692307692307693,1.0,1.0,1.0
FRESH,table,sparse,0.8,13,0.6153846153846154,0.5384615384615384,0.07692307692307698,3,2,1.0,0.3679487179487179,0.4,-0.032051282051282055,-0.3051282051282051,0.19615384615384615,0.43072154220665576,0.43827027775459726,-0.007548735547941528,-0.2861864858690189,0.240456187691091,0.6923076923076923,0.5384615384615384,0.7692307692307693,1.0,1.0,1.0
FRESH,prose,hybrid,0.4,16,1.0,1.0,0.0,0,0,1.0,0.9151785714285714,0.90625,0.008928571428571428,-0.06696428571428571,0.09375,0.8290277504384065,0.8087615772326846,0.020266173205721858,0.00011797607773052221,0.052761904421384856,1.0,1.0,1.0,1.0,1.0,1.0
FRESH,prose,hybrid,0.5,16,1.0,1.0,0.0,0,0,1.0,0.9151785714285714,0.90625,0.008928571428571428,-0.06696428571428571,0.09375,0.8614692869299355,0.8532244359357491,0.008244850994186356,-0.052021591937363075,0.07297840806263693,1.0,1.0,1.0,1.0,1.0,1.0
FRESH,prose,hybrid,0.6,16,1.0,1.0,0.0,0,0,1.0,0.9151785714285714,0.90625,0.008928571428571428,-0.06696428571428571,0.09375,0.8786610506558705,0.8600081770828382,0.018652873573032445,-0.04094425412832228,0.08338643064148302,1.0,1.0,1.0,1.0,1.0,1.0
FRESH,prose,hybrid,0.7,16,1.0,1.0,0.0,0,0,1.0,0.9151785714285714,0.90625,0.008928571428571428,-0.06696428571428571,0.09375,0.9028393511080295,0.8931782567064159,0.009661094401613574,-0.050605348529935854,0.07439465147006415,1.0,1.0,1.0,1.0,1.0,1.0
FRESH,prose,hybrid,0.8,16,1.0,1.0,0.0,0,0,1.0,0.9151785714285714,0.90625,0.008928571428571428,-0.06696428571428571,0.09375,0.8978219004297912,0.8931782567064159,0.0046436437233752965,-0.05225190456448036,0.06920067120535171,1.0,1.0,1.0,1.0,1.0,1.0
FRESH,prose,dense,0.4,16,1.0,0.9375,0.0625,1,0,1.0,0.8770833333333333,0.84375,0.033333333333333326,-0.12916666666666668,0.20833333333333334,0.798078790245906,0.7303861448129131,0.06769264543299289,-0.017385044203718107,0.2073525076503359,1.0,0.9375,0.9375,1.0,1.0,1.0
FRESH,prose,dense,0.5,16,0.9375,0.9375,0.0,1,1,1.0,0.85625,0.84375,0.012499999999999997,-0.1625,0.2,0.8240844748272398,0.7863849845647006,0.03769949026253911,-0.10366672893389309,0.2021325998607552,1.0,0.9375,0.9375,1.0,1.0,1.0
FRESH,prose,dense,0.6,16,0.9375,0.9375,0.0,1,1,1.0,0.85625,0.84375,0.012499999999999997,-0.1625,0.1875,0.83507122121718,0.7915419000147464,0.04352932120243356,-0.09535802553618672,0.20796243080064966,1.0,0.9375,0.9375,1.0,1.0,1.0
FRESH,prose,dense,0.7,16,0.9375,0.9375,0.0,1,1,1.0,0.85625,0.84375,0.012499999999999997,-0.16249999999999998,0.2,0.8592495216693388,0.8247119796383242,0.03453754203101469,-0.1068286771654175,0.19897065162923078,1.0,0.9375,0.9375,1.0,1.0,1.0
